"Email OTP Login","Email OTP Login"
"General Configuration","General Configuration"
"Email Configuration","Email Configuration"
"Enabled","Enabled"
"Allow Registration via OTP","Allow Registration via OTP"
"OTP Type","OTP Type"
"OTP Length","OTP Length"
"Expiry Time","Expiry Time"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Numeric","Numeric"
"Alphabetic","Alphabetic"
"Alphanumeric","Alphanumeric"
"Sign In","Sign In"
"Sign in with OTP","Sign in with OTP"
"Sign in with Password","Sign in with Password"
"Send OTP","Send OTP"
"Enter OTP","Enter OTP"
"One-Time Password","One-Time Password"
"Verify & Continue","Verify & Continue"
"Resend OTP","Resend OTP"
"Create an Account","Create an Account"
"Create an account","Create an account"
"New customer?","New customer?"
"Already have an account?","Already have an account?"
"Sign in","Sign in"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Password","Password"
"We have emailed you a one-time password. Please enter it below.","We have emailed you a one-time password. Please enter it below."
"An OTP has been sent to your email address.","An OTP has been sent to your email address."
"A new OTP has been sent to your email address.","A new OTP has been sent to your email address."
"The OTP is invalid or has expired.","The OTP is invalid or has expired."
"This email address is not registered.","This email address is not registered."
"Please enter a valid email address.","Please enter a valid email address."
"An account already exists for this email address. Please sign in instead.","An account already exists for this email address. Please sign in instead."
"Registration is currently disabled.","Registration is currently disabled."
"Your session has expired. Please start again.","Your session has expired. Please start again."
"You are now signed in.","You are now signed in."
"Your account has been created and you are now signed in.","Your account has been created and you are now signed in."
"We could not send the OTP. Please try again later.","We could not send the OTP. Please try again later."
"We could not resend the OTP. Please try again later.","We could not resend the OTP. Please try again later."
"We could not complete your request. Please try again later.","We could not complete your request. Please try again later."
"Google Sign-In","Google Sign-In"
"Enable Google Sign-In","Enable Google Sign-In"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Authorized Redirect URI","Authorized Redirect URI"
"Sign in with Google","Sign in with Google"
"Sign up with Google","Sign up with Google"
"or","or"
"Google Sign-In is not available.","Google Sign-In is not available."
"Google Sign-In was cancelled.","Google Sign-In was cancelled."
"Could not verify the Google Sign-In request. Please try again.","Could not verify the Google Sign-In request. Please try again."
"Your Google email address is not verified.","Your Google email address is not verified."
"Google did not return an access token.","Google did not return an access token."
"Google did not return profile information.","Google did not return profile information."
"We could not complete Google Sign-In. Please try again later.","We could not complete Google Sign-In. Please try again later."
